"Страна","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","95034161","20226924","0.17685084840176576","2.7358457765518653","00:03:45"
"Россия","73526805","14738936","0.15201460202167089","2.822208240926557","00:03:52"
"Беларусь","10332715","1170346","0.14582053216410207","2.170317288340964","00:03:22"
"Казахстан","2649888","425097","0.15290193396853","2.2753999414314867","00:03:02"
"Китай","2268081","2236080","0.9437599450813265","1.0916475205250606","00:00:14"
"Германия","1094812","269010","0.19633233833754105","2.908122125077182","00:04:34"
"Нидерланды","671639","278681","0.24818689802110958","2.9541643650830283","00:04:03"
"Не определено","659089","158886","0.16103439747894444","2.6997264405869315","00:04:14"
"США","522642","293799","0.34007599848462244","2.6240638907703553","00:03:11"
"Польша","182198","49914","0.1661269607789328","2.716462310233921","00:04:18"
"Вьетнам","181830","149165","0.7395204311719739","1.8439201451905627","00:01:48"
"Финляндия","179242","90904","0.1966893919951797","3.8732160989053903","00:04:14"
"Великобритания","178306","79163","0.20965082498625956","3.0755162473500612","00:04:19"
"Канада","173684","77388","0.1888141682595979","3.7553775822758575","00:03:35"
"Сингапур","148640","136207","0.9072322389666307","1.1597685683530679","00:00:30"
"Чехия","131723","62386","0.36741495410824226","5.767337518884325","00:08:57"
"Франция","120411","43662","0.24116567423242063","3.087467091876988","00:05:05"
"Израиль","114450","17091","0.1379467016164264","5.441502839667978","00:05:45"
"Литва","107070","35528","0.19386382740263378","2.6173624731484075","00:03:34"
"Швеция","102253","34866","0.17665007383646444","4.483594613360977","00:05:29"
"Турция","99190","37983","0.19364855328158082","2.8383103135396714","00:04:32"
"Австрия","90218","37519","0.22198452636946064","2.7324702387550155","00:04:03"
"Узбекистан","87824","24288","0.17406403716523958","2.8684414283111677","00:04:22"
"Молдова","87423","24986","0.16863983162325705","7.497454903171934","00:06:02"
"Таиланд","72513","20152","0.17230013928536952","2.6161929585039925","00:04:38"
"Объединённые Арабские Эмираты","69586","27752","0.20847584284195098","2.7004282470611907","00:04:36"
"Норвегия","67719","27657","0.2375699582096605","2.565572439049602","00:03:52"
"Испания","65822","18939","0.19256479596487497","3.165111968642703","00:04:41"
"Швейцария","51481","20628","0.1982284726403916","4.009498649987374","00:04:48"
"Египет","51121","17863","0.183897028618376","2.6663993270867157","00:04:28"
"Армения","50756","13964","0.15499645362124675","18.216210891323193","00:12:40"
"Индия","46211","23652","0.25991647010452057","9.203501330851962","00:10:26"
"Словакия","45356","13082","0.14626510274274626","6.005776523502955","00:08:35"
"Италия","41400","13944","0.18775362318840577","3.2704347826086955","00:04:48"
"Кыргызстан","39695","11091","0.19140949741781077","1.7315782844186924","00:02:20"
"Грузия","39257","10772","0.16203479634205364","20.49010367577757","00:11:59"
"Болгария","37276","11301","0.165253782594699","4.466063955360017","00:05:06"
"Республика Корея","36447","13759","0.17609131067028833","3.0800614591050017","00:05:01"
"Словения","34657","28262","0.09521885910494272","2.319012032201287","00:02:28"
"Кипр","32995","9350","0.15817548113350507","7.853159569631762","00:08:22"
"Япония","31361","18700","0.45189885526609486","2.091961353273174","00:03:21"
"Бразилия","28791","22727","0.5301656767739918","1.6438817686082456","00:02:04"
"Сербия","26745","6669","0.1582725743129557","10.691531127313517","00:08:09"
"Индонезия","23203","16145","0.46179373356893505","1.9909925440675775","00:03:12"
"Дания","21436","8467","0.2006437768240343","2.841481619705169","00:05:08"
"Бельгия","20188","6310","0.1600951060035665","4.484198533782445","00:05:38"
"Азербайджан","20180","6056","0.19871159563924679","2.373141724479683","00:03:45"
"Венгрия","20135","6478","0.1779985100571145","2.8682393841569405","00:04:29"
"Туркменистан","19291","4553","0.12130008812399565","1.6454823492820487","00:02:33"
"Малайзия","17949","14805","0.589169313053652","2.6173602986238786","00:03:50"
"Таджикистан","17793","5285","0.15629742033383914","1.7420333839150228","00:02:24"
"Ирландия","16249","6144","0.1930580343405748","2.7270601267770322","00:04:05"
"Тайвань","13546","6748","0.2218367045622324","3.7157094345194155","00:06:07"
"Румыния","13232","5467","0.19044740024183796","5.679791414752116","00:05:16"
"Греция","13126","4163","0.14528416882523237","2.7504190156940425","00:04:28"
"Португалия","13100","4820","0.15732824427480915","7.806564885496183","00:08:43"
"Австралия","11372","5246","0.16056982061202954","2.390344706296166","00:03:58"
"Филиппины","10913","7162","0.39320076972418216","5.008521946302575","00:05:33"
"Мексика","10779","7948","0.5035717599035161","1.7856944057890343","00:02:20"
"Бангладеш","10750","6835","0.4813023255813953","1.6098604651162791","00:02:09"
"Аргентина","9707","7093","0.46111053878644276","1.7422478623673638","00:02:15"
"Саудовская Аравия","8889","6476","0.44290696366295423","1.6413544830689617","00:02:15"
"Ирак","8178","6375","0.545243335778919","1.4602592320860845","00:01:17"
"Хорватия","7848","2952","0.176605504587156","5.4856014271151885","00:05:00"
"Черногория","7186","1679","0.17881992763707205","2.672418591706095","00:03:31"
"Монголия","5864","1244","0.1672919508867667","3.3003069577080493","00:06:31"
"Британские Виргинские острова","5489","5157","0.04008016032064128","2.3255602113317546","00:03:31"
"Сейшельские острова","5283","2438","0.1820935074768124","2.172439901571077","00:03:44"
"Мальдивы","5280","2061","0.20852272727272728","2.768560606060606","00:04:47"
"Пакистан","5220","4233","0.581992337164751","2.292337164750958","00:04:24"
"Шри-Ланка","5040","1622","0.16349206349206347","2.952579365079365","00:05:26"
"Албания","4686","2186","0.2772087067861716","2.6502347417840375","00:04:05"
"Новая Зеландия","4585","1644","0.1509269356597601","2.4292257360959653","00:03:49"
"Венесуэла","4325","3059","0.4536416184971098","2.6677456647398845","00:02:38"
"Сирия","3809","3029","0.290889997374639","2.0385928065108954","00:01:45"
"Люксембург","3795","1148","0.17997364953886696","2.4144927536231884","00:03:37"
"ЮАР","3776","2287","0.3636122881355932","2.010593220338983","00:03:06"
"Чили","3653","1959","0.3468382151656173","2.491650698056392","00:03:44"
"Иран","3650","2364","0.14356164383561643","2.704931506849315","00:06:56"
"Катар","3431","1121","0.27368114252404546","2.596327601282425","00:04:18"
"Марокко","3173","2410","0.5300976993381658","1.761424519382288","00:02:22"
"Доминиканская Республика","3085","950","0.24246353322528363","2.988006482982172","00:07:47"
"Иордания","3030","1640","0.4036303630363036","1.9270627062706271","00:02:39"
"Колумбия","2944","2400","0.45720108695652173","2.189877717391304","00:04:12"
"Кения","2877","2001","0.3587069864442127","1.8411539798401113","00:03:14"
"Уругвай","2656","1549","0.2210090361445783","26.00828313253012","00:22:09"
"Алжир","2506","1737","0.4102154828411811","2.00877893056664","00:03:34"
"Эквадор","2496","1652","0.4939903846153847","1.7251602564102564","00:02:02"
"Северная Македония","2231","561","0.09636934110264456","145.81264007171671","00:56:37"
"Нигерия","1986","978","0.2351460221550856","2.90785498489426","00:04:33"
"Непал","1921","1515","0.6371681415929203","1.887558563248308","00:02:11"
"Ангола","1890","405","0.2037037037037037","1.8888888888888888","00:04:28"
"Оман","1878","1007","0.35303514376996803","2.4073482428115014","00:03:25"
"Босния и Герцеговина","1863","837","0.2168545356951154","3.0198604401502953","00:04:25"
"Камбоджа","1782","832","0.2727272727272727","2.0561167227833894","00:04:18"
"Исландия","1513","833","0.16192994051553206","2.8836748182419036","00:04:46"
"Коста-Рика","1509","539","0.20675944333996024","1.6434724983432738","00:04:00"
"Перу","1436","1084","0.40668523676880225","2.0257660167130918","00:04:02"
"Тунис","1242","983","0.5402576489533011","1.6280193236714975","00:02:00"
"Гибралтар","1174","354","0.1643952299829642","1.9071550255536627","00:02:46"
"Куба","1173","442","0.17817561807331628","2.7195225916453536","00:03:22"
"Мьянма","1065","482","0.3211267605633803","2.123943661971831","00:03:42"
"Ливия","1046","446","0.27915869980879543","2.0066921606118546","00:03:14"
"Гана","1024","219","0.20703125","2.40234375","00:04:14"
"Кот-д’Ивуар","996","306","0.19477911646586346","2.2339357429718874","00:03:46"
"Лихтенштейн","961","354","0.17898022892819976","5.741935483870968","00:06:16"
"Мальта","892","275","0.17937219730941703","3.600896860986547","00:07:04"
"Маврикий","860","279","0.2313953488372093","3.1290697674418606","00:05:57"
"Монако","851","677","0.1245593419506463","2.337250293772033","00:07:57"
"Парагвай","845","752","0.6710059171597633","1.2366863905325445","00:00:42"
"Абхазия","815","414","0.17791411042944782","1.9533742331288344","00:02:56"
"Ливан","815","501","0.5349693251533743","1.6282208588957054","00:02:52"
"Ямайка","808","518","0.5693069306930693","1.4405940594059405","00:01:22"
"Эфиопия","793","643","0.47540983606557374","1.5346784363177806","00:01:22"
"Сенегал","727","524","0.5061898211829436","2.0660247592847316","00:03:24"
"Гвинея","711","129","0.19268635724331926","2.208157524613221","00:03:18"
"Боливия","695","579","0.5654676258992806","1.6244604316546762","00:02:14"
"Лаос","681","218","0.32599118942731276","1.9897209985315711","00:04:00"
"Демократическая Республика Конго","656","112","0.17682926829268295","2.3734756097560976","00:06:02"
"Панама","603","507","0.5621890547263682","1.572139303482587","00:01:43"
"Танзания","603","291","0.19402985074626866","2.7313432835820897","00:04:48"
"Бахрейн","577","390","0.44540727902946275","1.7365684575389948","00:01:43"
"Мали","575","164","0.21913043478260869","2.6626086956521737","00:02:26"
"Центральноафриканская республика","567","76","0.09700176366843033","7.9982363315696645","00:08:03"
"Афганистан","555","104","0.15135135135135136","2.181981981981982","00:03:21"
"Того","552","110","0.22826086956521738","3.523550724637681","00:07:18"
"Зимбабве","544","160","0.11948529411764706","3.0386029411764706","00:08:09"
"Кувейт","461","227","0.32537960954446854","2.1475054229934925","00:02:28"
"Палестина","426","421","0.7323943661971832","1.1220657276995305","00:00:37"
"Замбия","399","144","0.2030075187969925","2.0426065162907268","00:02:38"
"Белиз","369","228","0.0975609756097561","3.186991869918699","00:09:39"
"Андорра","360","124","0.13055555555555556","2.688888888888889","00:04:18"
"Гондурас","360","305","0.575","1.4055555555555554","00:01:00"
"Уганда","355","125","0.2084507042253521","2.980281690140845","00:03:41"
"Гватемала","324","257","0.5432098765432098","1.7901234567901234","00:01:35"
"Намибия","258","79","0.16279069767441862","2.046511627906977","00:02:21"
"Кюрасао","255","225","0.08235294117647057","2.168627450980392","00:07:11"
"Буркина-Фасо","251","177","0.41832669322709165","1.6015936254980079","00:01:19"
"Никарагуа","236","223","0.690677966101695","1.1440677966101696","00:00:31"
"Мозамбик","199","124","0.2964824120603015","7.849246231155779","00:04:49"
"Мадагаскар","183","76","0.1366120218579235","1.726775956284153","00:02:23"
"Сальвадор","178","175","0.7528089887640449","1.2808988764044944","00:00:33"
"Чад","176","22","0.07386363636363637","1.5340909090909092","00:02:25"
"Камерун","166","119","0.24096385542168675","2.397590361445783","00:03:35"
"Республика Конго","157","143","0.6178343949044586","1.2292993630573248","00:00:38"
"Габон","144","112","0.5138888888888888","1.7777777777777777","00:02:41"
"Багамские острова","131","79","0.29770992366412213","1.9083969465648856","00:03:00"
"Пуэрто-Рико","131","116","0.45038167938931295","1.5801526717557253","00:01:37"
"Экваториальная Гвинея","124","55","0.2258064516129032","1.5725806451612903","00:01:30"
"Сьерра-Леоне","120","37","0.225","2.5083333333333333","00:05:19"
"Южная Осетия","120","40","0.20833333333333337","2.183333333333333","00:01:49"
"Тринидад и Тобаго","105","96","0.5428571428571428","1.4476190476190476","00:00:23"
"Мавритания","101","67","0.3267326732673268","1.5445544554455446","00:00:51"
"Малави","98","33","0.23469387755102042","4.979591836734694","00:09:17"
"Бенин","94","73","0.39361702127659576","1.8085106382978724","00:01:57"
"Кабо-Верде","89","41","0.24719101123595505","1.8651685393258426","00:02:26"
"Судан","88","24","0.1590909090909091","1.8863636363636365","00:02:45"
"Ботсвана","80","74","0.475","1.425","00:01:04"
"Сомали","80","69","0.4125","1.425","00:00:35"
"Ватикан","69","62","0.13043478260869565","2.6231884057971016","00:08:41"
"Барбадос","67","52","0.4776119402985074","2.08955223880597","00:02:44"
"Бруней","66","62","0.6666666666666665","1.5454545454545454","00:02:22"
"Суринам","62","61","0.46774193548387094","1.2903225806451613","00:00:19"
"Йемен","60","56","0.5166666666666667","1.6333333333333333","00:01:08"
"Гайана","56","54","0.6964285714285714","1.6071428571428572","00:00:55"
"Руанда","54","49","0.4074074074074074","1.2962962962962963","00:00:36"
"Южный Судан","52","26","0.1346153846153846","1.5961538461538463","00:01:51"
"Бурунди","40","16","0.05","12.85","00:07:43"
"Гаити","39","24","0.1794871794871795","4.102564102564102","00:08:05"
"Французская Полинезия","38","4","0.10526315789473684","1.868421052631579","00:02:26"
"Американское Самоа","37","28","0.2972972972972973","1.7027027027027026","00:02:26"
"Мартиника","31","23","0.3225806451612903","2.6129032258064515","00:00:55"
"Аруба","26","20","0.3846153846153847","1.4230769230769231","00:00:30"
"Джибути","24","14","0.20833333333333337","2.4166666666666665","00:03:14"
"Гренландия","23","16","0.13043478260869565","2.347826086956522","00:04:35"
